Metacluster,sex,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
VA + North NC,F,23.31864,18.11179,18.96173,16.48919,12.73807,17.29899,19.42474,14.00775,10.80544,16.87165,13.72965,16.50925,19.4065,11.42884,10.96908,13.81512,15.0283,15.83006,16.90383,19.17866,17.69796,16.66792,21.33359,23.66406,20.19053,26.7203,21.07791,26.87685,28.21633,29.48109,29.61807,22.48846,38.07744,28.73015,27.74256,34.74384,29.07725,32.2641,35.10376
VA + North NC,M,67.38951,67.24151,63.61512,52.18862,56.55598,52.68439,52.0771,62.7117,64.89937,53.65841,57.75811,62.44512,55.49668,54.929,50.08847,48.09013,47.04781,49.30518,43.12709,54.9035,52.9436,60.02573,60.68769,63.32713,71.01177,67.89148,67.3452,74.94811,73.59413,66.95248,68.91919,70.74165,71.94529,67.67585,74.62928,71.55553,71.90886,76.39688,87.76616
South NC + SC + GA,F,18.43587,13.24123,15.72546,11.96262,21.52827,23.59592,12.63538,15.75184,20.26153,18.7095,20.17927,16.38819,18.10675,15.05001,16.87082,13.19568,15.79222,14.00236,14.86922,12.67426,16.9452,20.72833,22.59288,21.40708,20.83426,24.14616,24.43724,27.84385,27.7874,28.15952,28.75995,29.27276,32.38528,28.36114,32.30522,31.42317,34.71597,37.53991,39.82038
South NC + SC + GA,M,47.47335,51.64158,48.4637,53.79752,43.70463,48.76208,38.90922,53.52049,56.99445,51.04774,47.56729,54.29155,56.41324,59.82698,60.63061,59.7173,51.93751,54.99821,54.92515,50.37851,49.69623,66.41102,54.6318,53.8614,54.61649,71.25055,73.47696,66.85036,71.33504,80.45445,68.11501,66.36387,66.55473,76.29714,75.40801,77.51694,81.96772,87.46863,103.26642
Kentucky,F,10.7608,13.64215,14.39718,13.46919,9.70041,13.11755,13.70102,12.25545,19.85299,8.78961,14.51632,12.93171,14.88378,8.14042,15.05128,9.40816,14.67072,16.87183,15.27338,14.15802,12.80817,17.34183,21.5445,20.70087,30.9444,25.82041,26.63062,32.11613,35.27152,38.21495,43.40507,51.72339,63.40246,55.91627,41.2038,37.41115,41.71963,36.20419,46.56238
Kentucky,M,45.13422,46.3646,53.82654,59.83741,46.63815,51.50433,48.08557,46.57982,53.45039,40.04447,55.00313,52.03758,53.41008,54.82233,67.17599,63.10423,57.75443,60.05549,54.62469,60.80123,50.11172,76.7578,73.57319,87.24759,91.51455,82.74435,105.45633,91.61238,107.98278,97.8116,99.02709,137.27969,129.64115,114.98823,106.8836,120.2302,125.86894,112.07287,107.03152
Tennessee,F,15.81785,14.92848,16.48046,12.02175,17.07263,14.30819,10.98796,14.01168,12.35983,12.66137,11.09722,21.15145,15.02223,14.00826,13.28358,18.77275,11.95878,16.06011,15.23553,14.48177,16.40235,15.06507,17.71635,17.10349,24.50285,25.26021,23.53813,27.96243,26.04614,30.97502,29.70278,33.03683,32.77628,33.66625,39.21098,42.83611,40.69685,50.22101,54.03677
Tennessee,M,40.3288,35.1537,44.48145,44.71059,41.88847,43.19042,44.34389,35.78873,38.73235,44.70238,55.27469,47.54964,49.49401,43.59453,50.92117,41.03092,41.27016,43.06174,51.74127,48.41867,50.82487,54.99639,57.66908,59.44763,66.38333,63.99049,65.44548,64.94601,67.18657,70.8317,67.8733,82.06578,77.77006,79.62203,79.44623,87.92395,98.85578,103.31422,112.18016
West Virginia,F,17.49639,19.33457,18.41641,13.15845,13.02877,11.92213,13.57689,15.99533,11.70584,13.23402,14.09323,14.1511,13.51238,13.28917,15.7258,13.41799,13.85415,17.16041,17.05563,13.70564,12.88749,23.59562,23.24469,18.44794,21.51379,29.50204,23.33761,40.8416,34.8852,41.14585,26.91811,50.47744,62.11836,61.22547,51.98131,56.99661,74.1907,70.47172,76.52426
West Virginia,M,63.59625,84.39004,61.7674,64.38048,55.7534,48.65708,62.59333,63.41537,54.13363,49.64593,58.86824,59.47996,57.68736,54.1019,51.22752,54.63519,61.78639,60.99387,58.67322,46.68194,62.85712,61.29169,73.80135,77.98015,84.877,93.42243,64.75339,83.18525,105.29724,96.40585,72.74609,113.12479,136.40775,118.90613,123.43582,146.87128,151.39648,141.66259,162.26203
Wastern PA,F,18.03449,18.2799,18.11855,16.14737,17.39531,15.96515,12.771,14.01471,15.17637,15.97571,13.87216,13.84333,15.62532,12.48285,15.16461,12.85065,13.87693,12.16785,12.68976,12.6319,13.87567,14.29159,14.80761,16.67581,22.34467,19.81203,20.33075,15.3203,19.36212,20.70363,22.93282,26.00066,28.81714,27.80581,29.79176,31.79078,36.58484,50.30584,58.3487
Wastern PA,M,54.12605,59.06471,51.16091,51.15509,48.92709,50.46912,44.12801,49.46232,47.44857,49.45831,47.94288,44.66276,45.2501,41.84526,45.62147,42.94977,44.46972,42.47581,48.67764,46.88991,44.50863,44.74571,44.67751,51.90921,54.80379,57.19419,54.28882,50.09985,59.08275,61.66448,60.64855,62.58842,68.12577,63.90341,73.84357,78.5284,89.59003,120.04973,127.45288
Eastern PA,F,12.36127,16.49864,15.21641,15.09173,16.66804,14.72782,13.87857,10.19092,12.75633,15.35028,12.84392,14.49632,14.32511,12.87219,13.46707,13.59283,11.31567,14.63946,13.21918,9.30016,13.53391,19.69146,20.10948,18.52193,21.1565,17.5581,18.99988,19.28785,19.22785,25.76167,27.22315,22.42474,29.47879,24.31108,23.98628,27.88906,30.92009,41.58812,44.31688
Eastern PA,M,41.59002,57.07703,51.67057,48.90157,43.69603,47.95303,45.53506,50.64306,51.78513,54.15057,52.70526,47.33383,47.18282,51.66422,50.04408,45.12152,47.28666,52.27651,50.47751,42.4461,52.04129,54.43498,50.11722,57.66668,60.27581,64.15179,58.57192,57.01499,63.6231,66.34933,65.15185,58.99536,68.56779,74.97528,65.86679,63.71082,87.39209,99.22664,90.5112
Alabama,F,17.57773,17.58484,16.0964,16.84262,16.8239,20.5522,16.6639,15.84805,16.64249,19.14885,14.79623,19.74362,11.9627,13.45777,19.78866,18.68412,13.6952,15.90349,15.49742,15.77182,13.51508,17.55276,19.11733,17.20979,16.97372,16.42533,15.92852,17.54287,22.9057,23.0647,26.65577,20.00722,20.52629,22.74272,27.51902,31.77707,27.43717,32.65803,35.20884
Alabama,M,37.41526,43.2635,43.01613,50.75197,47.76767,55.09305,49.67991,45.34286,54.51697,54.84483,41.41968,50.01746,48.45907,52.53341,44.28697,50.09748,57.51087,48.76597,48.97506,49.97864,50.94124,46.16147,49.13042,47.07929,44.13075,54.31434,53.19998,49.52103,49.50717,61.2092,60.43672,47.98828,66.43656,56.67363,62.41807,78.47384,83.64425,82.72832,96.23864
